"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HHDI","NET","AGRWTH","A","2007",-0.19223291189504,
"DNK","HHDI","NET","AGRWTH","A","2008",0.386922033339913,
"DNK","HHDI","NET","AGRWTH","A","2009",2.71161092836509,
"DNK","HHDI","NET","AGRWTH","A","2010",3.35136452548455,
"DNK","HHDI","NET","AGRWTH","A","2011",0.881886051731641,
"DNK","HHDI","NET","AGRWTH","A","2012",-0.074168625938203,
"DNK","HHDI","NET","AGRWTH","A","2013",1.12609162483813,
"DNK","HHDI","NET","AGRWTH","A","2014",1.51444319596729,
"DNK","HHDI","NET","AGRWTH","A","2015",3.58712102877075,
"DNK","HHDI","NET","AGRWTH","A","2016",3.36022062995889,
"DNK","HHDI","NET","AGRWTH","A","2017",1.78355432606627,
"DNK","HHDI","NET","AGRWTH","A","2018",1.7633638645281,
"DNK","HHDI","NET","AGRWTH","A","2019",1.6650827572648,
"FIN","HHDI","NET","AGRWTH","A","1981",1.24301589677982,
"FIN","HHDI","NET","AGRWTH","A","1982",4.80693877393494,
"FIN","HHDI","NET","AGRWTH","A","1983",4.30602981823635,
"FIN","HHDI","NET","AGRWTH","A","1984",2.12457641689656,
"FIN","HHDI","NET","AGRWTH","A","1985",3.77232375044335,
"FIN","HHDI","NET","AGRWTH","A","1986",3.41024827222148,
"FIN","HHDI","NET","AGRWTH","A","1987",5.25064104858063,
"FIN","HHDI","NET","AGRWTH","A","1988",2.44274864872849,
"FIN","HHDI","NET","AGRWTH","A","1989",5.64873687729496,
"FIN","HHDI","NET","AGRWTH","A","1990",2.48684017742501,
"FIN","HHDI","NET","AGRWTH","A","1991",1.84711558813852,
"FIN","HHDI","NET","AGRWTH","A","1992",-2.19753143981732,
"FIN","HHDI","NET","AGRWTH","A","1993",-5.48218008080508,
"FIN","HHDI","NET","AGRWTH","A","1994",-3.01183162953222,
"FIN","HHDI","NET","AGRWTH","A","1995",7.4586160308133,
"FIN","HHDI","NET","AGRWTH","A","1996",0.408232742279733,
"FIN","HHDI","NET","AGRWTH","A","1997",4.55276514317083,
"FIN","HHDI","NET","AGRWTH","A","1998",3.52448905916423,
"FIN","HHDI","NET","AGRWTH","A","1999",4.61975258350722,
"FIN","HHDI","NET","AGRWTH","A","2000",1.90805135357474,
"FIN","HHDI","NET","AGRWTH","A","2001",0.867042375027188,
"FIN","HHDI","NET","AGRWTH","A","2002",2.87437595463486,
"FIN","HHDI","NET","AGRWTH","A","2003",3.39893139624361,
"FIN","HHDI","NET","AGRWTH","A","2004",4.18482571797347,
"FIN","HHDI","NET","AGRWTH","A","2005",1.48273268759211,
"FIN","HHDI","NET","AGRWTH","A","2006",2.06600324820881,
"FIN","HHDI","NET","AGRWTH","A","2007",3.23226287653082,
